Symbol,Description,Price,Price - Currency,"Dividend yield %, Trailing 12 months","Dividends per share, Annual","Dividends per share, Annual - Currency",Sector
NBY,"NovaBay Pharmaceuticals, Inc.",1.7501,USD,0,0,USD,Health technology
ATVKD,Ameritek Ventures,5,USD,0,0,USD,Producer manufacturing
KWM,"K Wave Media, Ltd.",0.7201,USD,0,0,USD,Finance
LITM,Snow Lake Resources Ltd.,2.94,USD,0,0,USD,Process industries
FSTJ,First America Resources Corp,0.5089,USD,0,,,Finance
TMAK,"Touchmark Bancshares, Inc.",10,USD,6.5,0,USD,Finance
ESBS,"ES Bancshares, Inc.",6.7,USD,0,0,USD,Finance
FGNXP,FG Nexus Inc. - 8.00% Cumulative Series A Preferred Stock,24,USD,0,0,USD,Finance
FGNX,FG Nexus Inc.,6.8,USD,0,0,USD,Finance
OTTW,"Ottawa Bancorp, Inc.",14.26,USD,3.08555399719495,0.44,USD,Finance
CRVO,CervoMed Inc.,4.81,USD,0,0,USD,Commercial services
MDAI,"Spectral AI, Inc.",1.45,USD,0,0,USD,Health technology
ATHR,"Aether Holdings, Inc.",3.66,USD,0,0,USD,Technology services
NSRX,Nasus Pharma Ltd.,5.15,USD,0,,,Health technology
GLXZ,"Galaxy Gaming, Inc.",1.75,USD,0,0,USD,Producer manufacturing
SQNS,Sequans Communications S.A.,2.75,USD,0,0,USD,Electronic technology
ROLR,"High Roller Technologies, Inc.",4.0667,USD,0,0,USD,Technology services
FCO,"abrdn Global Income Fund, Inc.",3.29,USD,25.531914893617,0.84,USD,Miscellaneous
KSCP,"Knightscope, Inc.",3.84,USD,0,0,USD,Producer manufacturing
RDI,Reading International Inc,1.08,USD,0,0,USD,Consumer services
SPWH,"Sportsman's Warehouse Holdings, Inc.",1.145,USD,0,0,USD,Retail trade
CIGL,Concorde International Group Ltd,1.63,USD,0,,,Commercial services
MFBP,"M&F Bancorp, Inc.",22.2,USD,1.08108108108108,0.24,USD,Finance
MAXN,"Maxeon Solar Technologies, Ltd.",2.6,USD,0,0,USD,Utilities
KMRK,K-Tech Solutions Company Limited,2.07,USD,0,,,Commercial services
ASTI,"Ascent Solar Technologies, Inc",5.66,USD,0,0,USD,Electronic technology
PRPO,"Precipio, Inc.",24.83,USD,0,0,USD,Health services
HCBN,H.C.B. Financial Corp.,40.7,USD,3.43980343980344,1.17,USD,Finance
WDFN,Woodlands Financial Services Co.,29.75,USD,3.89915966386555,1.16,USD,Finance
QETA,Quetta Acquisition Corporation,11.57,USD,0,0,USD,Finance
OSTX,OS Therapies Incorporated,1.2302,USD,0,0,USD,Health technology
ACFN,"Acorn Energy, Inc.",17.275,USD,0,0,USD,Electronic technology
KLXE,"KLX Energy Services Holdings, Inc.",2.425,USD,0,0,USD,Energy minerals
UONE,"Urban One, Inc.",12.1,USD,0,0,USD,Consumer services
ACQC,Relativity Acquisition Corp.,10,USD,0,0,USD,Finance
ALGS,"Aligos Therapeutics, Inc.",7,USD,0,0,USD,Health technology
CULP,"Culp, Inc.",3.4,USD,0,0,USD,Process industries
PPSI,"Pioneer Power Solutions, Inc.",3.8793,USD,0,0,USD,Producer manufacturing
MLGO,"MicroAlgo, Inc.",3.46,USD,0,0,USD,Technology services
WYY,WidePoint Corporation,4.35,USD,0,0,USD,Technology services
RAVE,"Rave Restaurant Group, Inc.",3.025,USD,0,0,USD,Consumer services
ICMB,"Investcorp Credit Management BDC, Inc.",2.98,USD,24.1610738255034,,,Finance
UAVS,"AgEagle Aerial Systems, Inc.",0.9866,USD,0,0,USD,Electronic technology
FIEE,"FiEE, Inc",6.815,USD,0,0,USD,Electronic technology
GGR,Gogoro Inc.,2.902,USD,0,0,USD,Consumer durables
DYNR,"DynaResource, Inc.",1.462,USD,0,0,USD,Non-energy minerals
BRFH,Barfresh Food Group Inc.,2.672,USD,0,0,USD,Consumer non-durables
TLYS,"Tilly's, Inc.",1.4,USD,0,0,USD,Retail trade
CTSO,Cytosorbents Corporation,0.6785,USD,0,0,USD,Health technology
JRSH,"Jerash Holdings (US), Inc.",3.3471,USD,6.13496932515338,0.2,USD,Consumer non-durables
CIBY,"CIBL, Inc.",1700.03,USD,0,0,USD,Communications
ANDC,"Andover Bancorp, Inc.",18.6,USD,4.08602150537634,0.755,USD,Finance
HIRU,Hiru Corp.,0.0069,USD,,0,USD,Health technology
GRF,"Eagle Capital Growth Fund, Inc.",10.65,USD,7.981220657277,0.68,USD,Miscellaneous
INIS,"Radnostix, Inc.",0.08,USD,0,0,USD,Health technology
MDVT,Middlebury National Corp.,47.74,USD,2.22036028487641,1,USD,Finance
TLPH,"Talphera, Inc.",0.90485,USD,0,0,USD,Health technology
RPMT,"Rego Payment Architectures, Inc.",0.3085,USD,0,0,USD,Technology services
GKOR,GOLKOR INC.,1.1,USD,0,0,USD,Non-energy minerals
AIIO,Robo.ai Inc.,0.1132,USD,0,0,USD,Distribution services
